Epoch,loss,accuracy,val_loss,cifar10_ica_5-5
1,1.8541,0.3193,1.5339,0.4415
2,1.6527,0.3967,1.4049,0.4968
3,1.585,0.4296,1.416,0.4935
4,1.5403,0.4449,1.3855,0.517
5,1.4883,0.4696,1.283,0.5479
6,1.4728,0.4736,1.2644,0.5466
7,1.4396,0.4883,1.2375,0.5669
8,1.4178,0.497,1.2398,0.5663
9,1.3882,0.5097,1.2949,0.5405
10,1.3717,0.5168,1.1521,0.5947
11,1.3558,0.5216,1.1637,0.5866
12,1.352,0.5248,1.1597,0.5874
13,1.3346,0.532,1.1617,0.5929
14,1.3246,0.5343,1.1996,0.5876
15,1.3125,0.5383,1.1561,0.592
16,1.3053,0.5446,1.0807,0.6202
17,1.2964,0.5465,1.1111,0.6187
18,1.2917,0.55,1.18,0.5879
19,1.2945,0.5493,1.0589,0.6329
20,1.2834,0.5505,1.0957,0.6116
21,1.2778,0.555,1.0477,0.6348
22,1.2712,0.5587,1.1319,0.6082
23,1.2913,0.5519,1.072,0.6287
24,1.2817,0.552,1.0846,0.6239
25,1.2705,0.5567,1.1149,0.6208
26,1.2682,0.5597,1.0749,0.633
27,1.2621,0.5609,1.0439,0.6387
28,1.2508,0.5662,1.0823,0.6292
29,1.2562,0.5649,1.0498,0.639
30,1.2512,0.5657,1.0585,0.6361
31,1.2473,0.5691,1.038,0.6422
32,1.2493,0.569,1.0579,0.6391
33,1.2374,0.5727,1.0423,0.642
34,1.2369,0.5733,1.0088,0.655
35,1.2371,0.5705,1.0613,0.6404
36,1.2369,0.5724,1.0024,0.6613
37,1.2326,0.575,1.0647,0.6429
38,1.2186,0.5784,1.0137,0.6498
39,1.2136,0.579,1.0185,0.6577
40,1.2117,0.5786,1.0192,0.6588
41,1.21,0.5822,1.002,0.6602
42,1.2062,0.583,1.0202,0.6522
43,1.2079,0.58,1.2135,0.5896
44,1.201,0.5866,0.9956,0.6556
45,1.204,0.5853,1.0238,0.6525
46,1.1948,0.5868,1.0444,0.6546
47,1.1957,0.5853,1.0405,0.6488
48,1.1848,0.5941,0.9601,0.6697
49,1.1903,0.5898,1.0022,0.6575
50,1.1874,0.5911,1.0135,0.655
51,1.1852,0.5894,0.9696,0.6762
52,1.1902,0.5904,1.0739,0.6342
53,1.1831,0.5905,0.9806,0.668
54,1.1715,0.5952,1.0095,0.6572
55,1.1771,0.593,0.9976,0.6536
56,1.1732,0.596,1.0101,0.6483
57,1.1714,0.5975,0.9996,0.6644
58,1.1675,0.599,1.0201,0.6538
59,1.1734,0.5983,0.9762,0.6676
60,1.1645,0.5975,1.002,0.6605
61,1.1597,0.6011,0.9771,0.6671
62,1.1664,0.5999,0.9589,0.6749
63,1.1646,0.598,0.9805,0.6676
64,1.1611,0.6004,0.9578,0.6767
65,1.1594,0.6002,1.002,0.6629
66,1.1509,0.6045,1.0315,0.6454
67,1.1603,0.6008,0.9605,0.68
68,1.1499,0.6048,0.9422,0.6802
69,1.1514,0.6047,1.0049,0.6615
70,1.1461,0.605,0.9719,0.6694
71,1.1506,0.6057,0.9899,0.6667
72,1.1451,0.6079,0.9556,0.6749
73,1.1391,0.6084,0.9953,0.6603
74,1.1429,0.6077,0.9867,0.6706
75,1.1376,0.6087,1.0061,0.6565
76,1.1434,0.6078,0.9679,0.6698
77,1.1361,0.6063,0.9704,0.6778
78,1.1461,0.6054,1.041,0.6524
79,1.1406,0.6055,0.9585,0.6726
80,1.1326,0.61,0.9501,0.6782
81,1.1265,0.6122,1.0021,0.6585
82,1.133,0.6113,0.9829,0.6734
83,1.1268,0.6114,0.9268,0.6854
84,1.1187,0.6173,0.9499,0.6803
85,1.125,0.6131,0.9766,0.6726
86,1.1198,0.6144,0.9479,0.6854
87,1.1191,0.6157,0.9578,0.6751
88,1.1239,0.6148,0.9776,0.6728
89,1.1182,0.6177,0.9584,0.6776
90,1.1162,0.615,0.9914,0.6659
91,1.1178,0.6125,0.9592,0.6777
92,1.1188,0.6137,0.9385,0.6796
93,1.1559,0.6024,0.9966,0.6617
94,1.1569,0.6001,0.9804,0.6729
95,1.1449,0.6037,0.9845,0.6681
96,1.144,0.6044,0.9577,0.6769
97,1.1319,0.6091,0.9745,0.6706
98,1.1319,0.6091,0.9712,0.6705
99,1.1164,0.6178,0.9267,0.6873
100,1.1111,0.6169,0.952,0.6817
