Epoch,loss,accuracy,val_loss,class_patch_normal
1,1.8815,0.3049,1.5896,0.4212
2,1.7383,0.3609,1.4865,0.4553
3,1.6532,0.3968,1.4253,0.4794
4,1.577,0.4284,1.376,0.5051
5,1.5154,0.4539,1.3361,0.5293
6,1.4723,0.4726,1.2485,0.5619
7,1.4422,0.4846,1.231,0.5637
8,1.4227,0.4929,1.202,0.5732
9,1.4091,0.4971,1.2377,0.5632
10,1.3965,0.5031,1.2135,0.5658
11,1.39,0.5053,1.1914,0.5835
12,1.3733,0.5133,1.1736,0.5774
13,1.3631,0.5161,1.213,0.5701
14,1.3563,0.5198,1.1596,0.5956
15,1.3381,0.5256,1.1589,0.5875
16,1.3405,0.5263,1.1397,0.5956
17,1.3295,0.5323,1.1767,0.5854
18,1.3183,0.5345,1.1115,0.6104
19,1.3098,0.5364,1.1001,0.6174
20,1.2975,0.5405,1.0812,0.6175
21,1.2882,0.5459,1.09,0.616
22,1.2862,0.5472,1.123,0.6052
23,1.2765,0.5539,1.0722,0.6156
24,1.2729,0.5523,1.084,0.6245
25,1.27,0.5512,1.076,0.624
26,1.2548,0.5591,1.0787,0.6189
27,1.2553,0.5627,1.0333,0.6381
28,1.2539,0.5581,1.0235,0.6415
29,1.2422,0.5654,1.0715,0.6213
30,1.2423,0.5678,1.0286,0.6346
31,1.2371,0.5675,1.0371,0.643
32,1.2335,0.5679,1.0116,0.6486
33,1.2298,0.5677,1.0587,0.6306
34,1.2156,0.5714,1.0918,0.6244
35,1.2244,0.5718,1.0564,0.6317
36,1.2253,0.5693,1.0485,0.6308
37,1.2122,0.5745,1.0434,0.636
38,1.2199,0.5737,1.0338,0.6401
39,1.216,0.575,1.0202,0.6427
40,1.2101,0.5754,1.0158,0.645
41,1.2058,0.5759,1.0312,0.6353
42,1.2069,0.5792,0.9789,0.6591
43,1.1995,0.579,1.0003,0.647
44,1.1955,0.5805,0.9973,0.6531
45,1.2011,0.5796,0.9906,0.6523
46,1.1963,0.5813,0.9768,0.6614
47,1.1965,0.5824,1.0023,0.6567
48,1.1925,0.5868,1.0446,0.636
49,1.1961,0.586,0.9807,0.6641
50,1.1918,0.5856,1.0065,0.6477
51,1.1918,0.5851,0.9961,0.6536
52,1.1796,0.5867,0.9764,0.6617
53,1.1866,0.5845,1.0234,0.6456
54,1.1843,0.5878,0.9956,0.6601
55,1.1815,0.5889,0.9733,0.6604
56,1.1737,0.5886,1.0293,0.6423
57,1.1845,0.5875,0.9788,0.6588
58,1.1809,0.5874,0.9759,0.6601
59,1.1748,0.5886,0.9935,0.6541
60,1.1726,0.5936,0.9928,0.6597
61,1.1698,0.592,1.03,0.6468
62,1.1694,0.5922,0.9983,0.6549
63,1.175,0.5906,0.9921,0.6554
64,1.1699,0.5921,0.9586,0.6638
65,1.1625,0.5951,1.0931,0.6241
66,1.1638,0.5937,0.9901,0.6582
67,1.1638,0.5956,0.9726,0.6646
68,1.1662,0.5935,1.0156,0.6449
69,1.1554,0.6005,0.995,0.6517
70,1.1711,0.5922,0.9501,0.6728
71,1.1594,0.5966,1.0009,0.65
72,1.1543,0.5997,0.952,0.6711
73,1.1615,0.5981,0.9754,0.6589
74,1.1565,0.597,0.956,0.6689
75,1.151,0.5979,0.9682,0.662
76,1.1525,0.5984,1.0029,0.6527
77,1.1567,0.5964,1.0053,0.6475
78,1.1454,0.6011,0.9797,0.6626
79,1.1554,0.5986,0.9658,0.671
80,1.1532,0.5971,0.9523,0.6667
81,1.1411,0.6019,0.9355,0.6779
82,1.1499,0.5998,0.946,0.674
83,1.1419,0.6039,0.9649,0.6607
84,1.1424,0.6017,0.9747,0.666
85,1.1452,0.6007,0.9473,0.6739
86,1.1319,0.6028,0.9565,0.6686
87,1.1403,0.6046,0.9594,0.6691
88,1.1367,0.6043,0.974,0.6624
89,1.1387,0.604,0.9325,0.675
90,1.1315,0.6068,0.9601,0.6711
91,1.1316,0.6041,0.9739,0.6624
92,1.1385,0.6054,1.0114,0.6561
93,1.1331,0.606,0.9586,0.6665
94,1.1322,0.6052,0.9262,0.6819
95,1.1309,0.6092,0.9507,0.6687
96,1.137,0.602,0.9248,0.6781
97,1.1357,0.6042,0.9426,0.6693
98,1.1287,0.6086,0.9896,0.6581
99,1.1284,0.6073,0.9537,0.6719
100,1.12,0.6104,0.9309,0.6744
