Epoch,loss,accuracy,val_loss,ica glorot_uniform
1,1.9326,0.2811,1.6882,0.3899
2,1.7195,0.3683,1.4859,0.4624
3,1.6325,0.4058,1.4124,0.4885
4,1.5701,0.4336,1.3748,0.493
5,1.5235,0.451,1.2719,0.5416
6,1.4807,0.4687,1.2788,0.5343
7,1.4505,0.4778,1.2146,0.5628
8,1.4098,0.4958,1.1847,0.5795
9,1.3875,0.505,1.2092,0.5708
10,1.3722,0.5127,1.1459,0.5948
11,1.3576,0.5187,1.1557,0.5962
12,1.3436,0.5243,1.1088,0.6016
13,1.3348,0.5281,1.1565,0.5971
14,1.3349,0.5262,1.1502,0.5909
15,1.3191,0.5337,1.1283,0.6003
16,1.3056,0.5385,1.13,0.6023
17,1.2998,0.5389,1.102,0.6007
18,1.2936,0.545,1.0972,0.617
19,1.2826,0.5491,1.1062,0.6148
20,1.2734,0.5505,1.0891,0.6159
21,1.2743,0.5512,1.1188,0.605
22,1.2616,0.5556,1.068,0.6229
23,1.258,0.5561,1.0411,0.632
24,1.2547,0.5582,1.0649,0.6284
25,1.2496,0.5631,1.032,0.6363
26,1.242,0.5644,1.0573,0.6252
27,1.2378,0.5681,1.0407,0.6341
28,1.2368,0.5658,1.0796,0.6263
29,1.2372,0.5658,1.0374,0.6408
30,1.2285,0.5702,1.0197,0.6451
31,1.2241,0.5681,1.0121,0.6451
32,1.2244,0.5722,1.0115,0.6451
33,1.2221,0.5731,1.0059,0.6459
34,1.2195,0.5729,1.0246,0.6467
35,1.2217,0.5732,1.0139,0.6457
36,1.2149,0.5746,1.0881,0.6286
37,1.2136,0.5763,1.0525,0.6354
38,1.2055,0.5771,1.0254,0.647
39,1.2059,0.5798,1.026,0.6486
40,1.2029,0.5785,1.0074,0.6435
41,1.2059,0.5803,0.9975,0.6514
42,1.1982,0.5815,1.0019,0.6519
43,1.1919,0.5832,1.0202,0.6454
44,1.1913,0.5848,0.9858,0.66
45,1.1908,0.5837,1.0099,0.6542
46,1.1833,0.588,0.9795,0.6613
47,1.1878,0.5867,0.998,0.6529
48,1.1882,0.5837,0.9927,0.6631
49,1.1813,0.5884,0.9848,0.6597
50,1.1784,0.5868,1.0588,0.6388
51,1.181,0.5885,0.9707,0.6641
52,1.1758,0.589,0.9853,0.6608
53,1.1806,0.5902,0.9707,0.6621
54,1.1731,0.5898,1.0231,0.6452
55,1.1735,0.5915,0.9681,0.6639
56,1.1794,0.5884,0.9973,0.6539
57,1.167,0.5927,0.9967,0.6562
58,1.1658,0.5924,1.0067,0.6518
59,1.1618,0.5978,0.977,0.6631
60,1.163,0.5976,0.9933,0.6559
61,1.1589,0.5985,1.0048,0.6568
62,1.1519,0.5999,0.9971,0.6571
63,1.1573,0.5992,0.9758,0.6614
64,1.1508,0.5991,0.9733,0.6647
65,1.158,0.5964,0.9833,0.6601
66,1.1546,0.5998,0.983,0.6547
67,1.1532,0.5982,1.0349,0.6377
68,1.1543,0.599,0.9546,0.6765
69,1.1478,0.6021,0.9709,0.6646
70,1.1504,0.5992,0.9993,0.6601
71,1.1522,0.5998,0.9931,0.659
72,1.1481,0.6016,0.9996,0.6616
73,1.1486,0.5999,0.9814,0.6594
74,1.1388,0.6033,1.008,0.6609
75,1.157,0.6017,0.9524,0.6676
76,1.1413,0.6062,0.9883,0.6576
77,1.137,0.6049,0.9747,0.6655
78,1.1338,0.6058,0.9412,0.6763
79,1.132,0.6085,0.9967,0.6624
80,1.134,0.604,0.9685,0.6625
81,1.1572,0.597,1.0664,0.6389
82,1.1995,0.5819,1.0454,0.6369
83,1.1874,0.586,1.0023,0.6544
84,1.1824,0.5895,0.9878,0.6577
85,1.171,0.5931,1.0225,0.6465
86,1.1637,0.595,1.0453,0.6497
87,1.159,0.5966,0.976,0.6666
88,1.1592,0.5963,1.0113,0.6549
89,1.152,0.6007,0.9964,0.6591
90,1.1515,0.5995,0.9762,0.6644
91,1.1545,0.6025,0.9867,0.6545
92,1.1477,0.6007,1.0458,0.6403
93,1.1479,0.6018,0.9913,0.655
94,1.1482,0.5974,0.9756,0.661
95,1.1407,0.6002,0.9934,0.6609
96,1.1445,0.6041,0.9705,0.6666
97,1.1362,0.6034,1.024,0.6478
98,1.1355,0.6063,0.9712,0.6715
99,1.1324,0.6058,0.969,0.6641
100,1.1362,0.6068,0.9644,0.6716
