Epoch,loss,accuracy,val_loss,ica normal
1,1.8591,0.3142,1.6005,0.4194
2,1.6919,0.3764,1.4617,0.4679
3,1.6166,0.4081,1.4607,0.4713
4,1.5766,0.4251,1.361,0.4942
5,1.5325,0.445,1.3327,0.5173
6,1.5106,0.4544,1.3002,0.5373
7,1.4793,0.4672,1.3008,0.5268
8,1.4528,0.4801,1.276,0.5454
9,1.4258,0.4895,1.2137,0.5636
10,1.4084,0.4943,1.2118,0.5696
11,1.3855,0.5074,1.2036,0.5676
12,1.379,0.5091,1.1274,0.5993
13,1.3616,0.5141,1.1512,0.5842
14,1.3463,0.524,1.1438,0.5972
15,1.3319,0.5304,1.1302,0.6047
16,1.3277,0.5307,1.1887,0.5686
17,1.3197,0.5324,1.1144,0.6105
18,1.3089,0.5387,1.1023,0.6106
19,1.3039,0.5398,1.1718,0.5832
20,1.2965,0.5416,1.1598,0.5861
21,1.2854,0.5483,1.0839,0.6174
22,1.273,0.5512,1.0669,0.6251
23,1.2791,0.5518,1.0735,0.6239
24,1.2774,0.5509,1.0538,0.6333
25,1.2654,0.5545,1.0617,0.6274
26,1.2588,0.5584,1.0395,0.6375
27,1.2602,0.5583,1.1012,0.6229
28,1.2508,0.5621,1.1864,0.5876
29,1.2387,0.5667,1.0472,0.6375
30,1.238,0.5665,1.0285,0.6363
31,1.2338,0.5722,1.0234,0.6484
32,1.2396,0.566,1.0305,0.641
33,1.2361,0.5706,1.0731,0.6218
34,1.2322,0.5684,1.0359,0.6421
35,1.2256,0.57,1.0472,0.6385
36,1.2237,0.5738,1.0325,0.6432
37,1.2202,0.5747,1.0158,0.6464
38,1.2145,0.5763,1.0144,0.6494
39,1.2159,0.5746,1.0257,0.6416
40,1.2083,0.5796,1.0033,0.6485
41,1.2075,0.5793,0.9842,0.6551
42,1.1957,0.5844,1.0016,0.6497
43,1.2056,0.5801,1.0542,0.6298
44,1.1951,0.5829,0.9884,0.6621
45,1.2021,0.5823,1.017,0.6494
46,1.1961,0.5832,1.0222,0.6447
47,1.1944,0.5849,1.0142,0.6495
48,1.191,0.5847,1.0471,0.6371
49,1.1931,0.5835,0.9999,0.6547
50,1.1926,0.5856,1.0216,0.6443
51,1.1862,0.5848,1.0308,0.637
52,1.1803,0.5891,1.0031,0.6523
53,1.1865,0.59,0.9765,0.6601
54,1.1776,0.5914,0.9877,0.6572
55,1.1735,0.5911,0.9778,0.6587
56,1.1849,0.5863,0.9878,0.6622
57,1.1747,0.5923,0.9606,0.6674
58,1.1681,0.5943,1.0819,0.6303
59,1.1748,0.5922,0.978,0.6697
60,1.1716,0.5953,0.9558,0.6704
61,1.1702,0.594,0.9597,0.6666
62,1.1677,0.5952,0.9646,0.6732
63,1.1678,0.5952,0.978,0.6659
64,1.1635,0.5951,0.9858,0.6655
65,1.1593,0.5967,0.9683,0.6665
66,1.1596,0.5983,0.9783,0.6671
67,1.1557,0.5953,0.9497,0.6729
68,1.155,0.5981,0.9669,0.6699
69,1.1491,0.5996,0.9437,0.6717
70,1.1603,0.5977,0.968,0.6599
71,1.1532,0.5964,1.0475,0.6358
72,1.1578,0.5986,0.9572,0.6756
73,1.1459,0.6008,0.9554,0.6728
74,1.151,0.5982,0.9537,0.6716
75,1.1543,0.5992,1.0323,0.6369
76,1.1427,0.6025,0.9967,0.6569
77,1.1463,0.5993,0.9692,0.6706
78,1.139,0.6063,0.9904,0.6577
79,1.1496,0.6004,0.9982,0.6555
80,1.1455,0.602,0.9873,0.6588
81,1.1458,0.6043,0.9866,0.6578
82,1.1354,0.6063,0.9549,0.674
83,1.1397,0.6083,0.9935,0.6597
84,1.1363,0.607,0.9723,0.6664
85,1.1433,0.6042,0.9494,0.6731
86,1.1391,0.6042,1.0016,0.668
87,1.1363,0.6035,0.9526,0.6709
88,1.1261,0.6086,0.9595,0.6703
89,1.1321,0.6073,0.9509,0.6707
90,1.1295,0.6097,0.9892,0.6579
91,1.1377,0.6078,0.9594,0.6688
92,1.1301,0.6061,0.9334,0.6784
93,1.1301,0.608,0.9349,0.681
94,1.1237,0.6091,0.9425,0.678
95,1.1253,0.6091,0.9433,0.671
96,1.1281,0.6086,0.9393,0.6786
97,1.1235,0.6124,0.9525,0.6757
98,1.1235,0.6104,0.9212,0.6858
99,1.1202,0.6137,0.9403,0.6797
100,1.1186,0.6131,0.9194,0.6844
