Epoch,loss,accuracy,val_loss,cifar10_ica_norm_7-7
1,1.8757,0.3095,1.5939,0.4322
2,1.6968,0.3782,1.4728,0.4624
3,1.6361,0.4066,1.4915,0.4767
4,1.5815,0.4304,1.3915,0.5095
5,1.527,0.4549,1.299,0.5427
6,1.4999,0.4632,1.2797,0.5421
7,1.4878,0.4687,1.3038,0.5387
8,1.4655,0.4789,1.2233,0.5655
9,1.4415,0.4885,1.2585,0.5541
10,1.4321,0.4925,1.27,0.5469
11,1.4091,0.5035,1.1693,0.5887
12,1.3995,0.5071,1.1861,0.5768
13,1.3866,0.5121,1.2027,0.5705
14,1.3773,0.5161,1.1634,0.5937
15,1.3616,0.5252,1.1442,0.6003
16,1.3593,0.5238,1.1603,0.5969
17,1.3421,0.5295,1.2029,0.5792
18,1.345,0.5308,1.1889,0.5886
19,1.3323,0.5374,1.1521,0.6014
20,1.3253,0.5364,1.2425,0.5745
21,1.3272,0.5393,1.1197,0.6147
22,1.3197,0.5446,1.1259,0.6118
23,1.311,0.5437,1.0797,0.6241
24,1.3095,0.545,1.1523,0.6045
25,1.3035,0.5491,1.0982,0.6176
26,1.3003,0.5515,1.112,0.6174
27,1.2958,0.5536,1.0683,0.6323
28,1.2977,0.5485,1.1594,0.5999
29,1.292,0.555,1.0784,0.6293
30,1.2758,0.5588,1.1125,0.6129
31,1.2773,0.5582,1.0669,0.6348
32,1.2768,0.5574,1.0507,0.6359
33,1.2702,0.5617,1.1025,0.6176
34,1.2718,0.5588,1.0928,0.6217
35,1.2695,0.5626,1.127,0.614
36,1.2626,0.562,1.0613,0.6367
37,1.2595,0.5663,1.1209,0.618
38,1.2624,0.5651,1.069,0.6329
39,1.2503,0.5711,1.0507,0.6394
40,1.2517,0.5686,1.0706,0.6358
41,1.25,0.5679,1.0411,0.6425
42,1.2466,0.5708,1.0568,0.6349
43,1.2379,0.5693,1.109,0.6145
44,1.2401,0.5734,1.0363,0.643
45,1.244,0.5713,1.039,0.6457
46,1.2421,0.5716,1.0725,0.6384
47,1.2232,0.581,1.0855,0.629
48,1.2287,0.5778,1.0493,0.6486
49,1.2287,0.5798,1.0537,0.6432
50,1.223,0.5806,1.047,0.6405
51,1.233,0.5771,1.0229,0.6486
52,1.2207,0.583,1.0416,0.6454
53,1.222,0.5808,1.0097,0.6625
54,1.2164,0.5849,1.0457,0.6509
55,1.211,0.584,1.0344,0.6501
56,1.2146,0.5845,1.0403,0.6492
57,1.2126,0.5819,1.0251,0.6571
58,1.212,0.5841,1.0783,0.6326
59,1.2031,0.5861,1.0079,0.6602
60,1.2065,0.5859,1.0389,0.6452
61,1.1975,0.5896,0.9933,0.6607
62,1.1914,0.5903,1.0366,0.6495
63,1.1908,0.5908,1.0068,0.6568
64,1.1975,0.5905,1.0235,0.6552
65,1.199,0.5859,1.1778,0.6119
66,1.1921,0.5918,1.0015,0.6531
67,1.1961,0.5897,1.0163,0.657
68,1.1898,0.5918,1.009,0.6625
69,1.1841,0.5942,1.0601,0.6357
70,1.1799,0.593,1.035,0.6532
71,1.1877,0.5912,1.0245,0.6534
72,1.1786,0.596,0.9986,0.6575
73,1.1761,0.5975,1.0014,0.6631
74,1.1808,0.5948,1.0004,0.6642
75,1.1826,0.5954,0.9918,0.6651
76,1.1769,0.596,1.0719,0.6415
77,1.1712,0.5988,0.9945,0.6676
78,1.1751,0.5977,1.015,0.6569
79,1.1687,0.5999,1.0699,0.636
80,1.1603,0.6023,1.0166,0.6574
81,1.1609,0.6031,0.9945,0.6694
82,1.1609,0.6047,1.0124,0.6643
83,1.1604,0.6018,0.9918,0.6639
84,1.1662,0.5992,0.9829,0.6628
85,1.1623,0.605,0.9964,0.6627
86,1.154,0.6041,0.9941,0.67
87,1.1448,0.6058,0.9698,0.6671
88,1.1568,0.6063,1.0376,0.6507
89,1.1426,0.6067,1.0038,0.6642
90,1.1475,0.6085,0.9998,0.6617
91,1.1549,0.6039,0.9811,0.675
92,1.1515,0.6082,0.9993,0.6606
93,1.1392,0.6111,1.0333,0.6513
94,1.1507,0.6063,0.996,0.6654
95,1.1453,0.6072,0.9696,0.6761
96,1.1415,0.6081,0.9976,0.6627
97,1.1389,0.6115,0.9622,0.6753
98,1.146,0.608,0.9612,0.6745
99,1.1377,0.6131,1.0305,0.6463
100,1.1345,0.6138,0.9747,0.6764
